#{"t_start": 1767722046.9702315, "env_id": "None"}
r,l,t
1997.5193,900,3637.200532
2035.0123,900,3645.283804
-34.859493,28,3647.255303
1916.069,900,3648.307528
1985.8424,900,3651.23546
1715.1188,900,3651.965113
1890.2839,900,3663.593701
917.30585,496,3667.275669
1832.1877,900,3670.090149
1887.6608,900,3676.048028
1754.4401,900,3677.608282
1954.8887,900,3677.829918
388.2114,281,3678.556959
1863.7117,900,3678.653354
44.83053,106,3682.98992
377.15854,259,3683.095215
523.8518,636,3685.438305
212.71187,152,3686.153521
2054.7783,900,3690.678169
742.19806,407,3696.578119
2074.3047,900,3698.31564
1599.058,900,3701.525363
2031.4673,900,3702.132371
534.76385,365,3702.394693
-7.8142133,49,3705.246082
692.21277,468,3712.027334
2132.4116,900,3716.677045
649.0223,304,3722.247853
1189.5256,615,3722.636387
613.6076,421,3725.240204
2077.5706,900,3730.097433
2035.3771,900,3731.264746
104.838005,145,3731.817413
990.3742,454,3744.013335
1872.8995,900,3746.179459
736.12994,334,3747.441208
789.2947,455,3750.648371
1950.0009,900,3755.957113
326.10806,175,3758.696363
713.37555,443,3760.241923
684.8988,432,3762.073302
2177.2708,900,3763.151295
219.77747,213,3764.204607
2004.5143,900,3768.526107
465.02878,321,3782.202432
366.4885,226,3782.76861
598.30853,395,3785.0117
1897.9792,900,3796.095396
1812.1758,900,3797.246075
2013.741,900,3797.735499
1174.0419,565,3799.667866
1867.2556,900,3800.753511
2018.2695,900,3802.840891
338.61676,196,3809.711826
979.0267,444,3809.837103
1846.9414,900,3812.120605
1979.4506,900,3814.789583
245.89221,231,3814.926711
1032.1931,513,3816.882219
2054.322,900,3819.286566
577.1054,329,3823.335224
271.83337,148,3824.213174
-30.178043,43,3826.996332
279.2286,168,3830.051069
2053.013,900,3839.340474
